150 PA5-A-OurOutput-Iter=1.txt 6
-2.928655   -4.679599   -6.907351   57.685847   -10.963032   30.895117
  -32.83     1.42   -15.72      -32.71     2.96   -14.15       2.208
   -4.58    22.62    40.20       -4.16    20.32    39.26       2.520
   21.56     6.60   -32.60       22.78     6.58   -30.02       2.851
   -5.27    -3.01    50.96       -4.77    -2.65    50.89       0.627
   26.29    15.39    32.89       23.95    14.16    32.34       2.700
    8.98    22.94    23.65        8.98    23.57    23.78       0.647
  -18.16    10.13   -23.79      -18.14    11.87   -23.87       1.737
   -6.47   -23.09   -22.53       -4.29   -25.25   -21.90       3.131
   -4.99   -19.28   -39.84       -5.04   -19.27   -39.81       0.058
   10.10   -13.13    -2.29        9.82   -15.66    -1.81       2.588
   -0.63   -16.10   -10.36       -0.33   -18.01    -9.47       2.130
   28.62    -0.04    34.57       24.93     1.74    33.54       4.228
   -6.52   -22.20   -21.05       -4.28   -24.45   -19.99       3.345
  -13.66   -26.52   -37.38      -13.24   -28.04   -38.24       1.793
   39.71    10.48     8.22       38.11    10.13     6.83       2.154
   29.66    -9.77     8.54       29.18    -7.30     7.68       2.660
    1.92    -1.93   -23.77        2.21    -1.73   -24.25       0.592
   21.08    12.92   -30.51       21.24    12.97   -30.76       0.301
   23.19    18.57    28.38       22.59    18.14    28.24       0.750
   22.30    21.20    16.18       22.67    21.91    16.32       0.817
  -14.90     7.11   -12.33      -14.58     6.32   -12.54       0.883
  -28.29   -15.56   -44.28      -28.35   -15.63   -47.15       2.871
   -3.22     4.36   -23.41       -3.05     4.60   -23.57       0.335
   12.17     7.83   -19.09       14.27     7.08   -17.74       2.611
    5.06    -2.20    61.05        5.06    -2.15    63.35       2.299
   32.14   -10.73     4.92       30.74    -7.91     4.67       3.159
   23.58     0.77    54.18       21.03     1.82    53.77       2.788
   41.23     0.63    12.03       37.45     1.15     9.28       4.712
  -36.73   -15.04   -33.87      -39.93   -15.61   -34.03       3.256
   37.55    -6.45    11.38       34.44    -3.92     9.90       4.275
   -5.31    23.35    29.71       -5.13    24.19    29.85       0.863
   26.26   -12.49    -0.12       26.07   -10.81    -0.96       1.889
  -22.01     9.51   -22.67      -22.00    11.94   -22.77       2.435
   -3.85     6.66   -18.32       -3.75     7.57   -18.65       0.980
    8.80    -6.86    48.18        8.80    -6.79    48.18       0.078
   -1.14    22.00    53.27        0.35    18.14    52.61       4.191
   29.99    13.18   -19.27       32.48    14.26   -20.86       3.146
   -6.63     6.83   -23.33       -6.51     7.20   -23.37       0.391
  -37.21   -19.38   -19.02      -39.32   -20.70   -17.83       2.755
   33.53    -9.88    -6.74       31.46    -7.98    -6.26       2.856
  -27.22   -16.00   -44.63      -27.65   -16.70   -47.12       2.627
   -3.28     2.25   -28.09       -3.60     1.99   -27.77       0.526
   -1.57    22.24     8.49       -0.39    20.63     9.43       2.214
  -32.59     3.65   -35.33      -33.91     5.22   -36.11       2.193
   15.75    22.24    41.29       15.37    21.39    41.26       0.932
   22.60    19.27    46.54       19.62    16.77    46.06       3.924
   31.19    -1.95    26.52       26.74    -0.28    24.90       5.026
   21.95    -7.52    20.19       21.38    -5.77    20.01       1.851
   25.20    -5.61    29.09       23.12    -2.88    28.18       3.550
   20.99    -5.76    38.61       19.41    -3.68    38.05       2.668
   23.83     5.09    58.96       21.32     5.59    58.70       2.572
   21.31    22.12     9.83       21.98    23.89    10.22       1.931
    6.79    22.71    29.42        6.79    22.71    29.42       0.001
  -10.70    14.14    12.40       -9.63    13.77    13.42       1.526
  -10.02    11.83     2.15       -8.06     9.08     2.40       3.388
  -34.01    -3.25   -13.94      -35.22    -2.28   -11.60       2.796
   -1.56   -17.87   -25.26        0.53   -18.72   -25.80       2.317
    6.32    -9.06    14.37        6.49    -9.89    14.66       0.893
  -27.77   -27.26   -19.95      -28.60   -29.87   -18.61       3.045
   30.17   -11.89    -1.04       28.83    -9.92    -1.33       2.405
  -37.22   -19.63   -19.28      -39.32   -20.94   -18.09       2.746
  -22.18     9.84   -34.09      -22.39    10.74   -34.39       0.970
  -39.08   -17.96   -27.01      -41.67   -19.04   -27.13       2.807
   -3.12    -6.14    46.57       -2.60    -5.14    46.49       1.129
   10.25    22.42    37.10       10.36    21.72    37.12       0.711
    2.94    -8.33    23.53        2.98    -8.59    23.56       0.261
  -29.46     4.43   -38.28      -29.83     5.79   -39.27       1.724
   27.40     9.35    44.74       23.37     9.07    44.33       4.060
   37.75    -6.26    11.45       34.61    -3.70     9.90       4.336
    2.58    -8.27    25.95        2.58    -8.28    25.95       0.008
   -0.98   -13.24   -37.71       -1.73   -13.24   -37.38       0.822
  -32.57     1.83   -16.07      -32.68     3.11   -14.30       2.193
   -8.67   -23.39   -38.59       -8.15   -23.98   -39.09       0.927
  -33.59     5.97   -21.70      -34.28     6.80   -21.42       1.116
   -6.73    20.49    47.32       -4.11    17.31    45.57       4.478
  -20.55   -25.95   -13.50      -20.68   -27.60   -12.08       2.181
  -39.91    -1.59   -27.02      -41.57    -0.46   -27.09       2.011
   32.83   -10.48    -6.27       31.00    -8.55    -5.76       2.705
   35.81    -5.05   -12.71       35.09    -4.74   -12.76       0.781
   -1.01    23.01    39.41       -0.78    21.05    38.60       2.139
  -19.57     0.61    -0.65      -17.40    -0.12    -1.10       2.334
  -11.75   -26.63   -35.53      -10.93   -28.03   -36.13       1.727
  -11.53    -0.10    27.26       -8.14     0.41    26.54       3.504
  -22.36    -8.34    -4.30      -22.27    -8.37    -4.42       0.156
  -12.64     9.22   -27.44      -12.27     9.77   -27.54       0.672
  -10.46   -12.46   -45.83      -10.21   -12.56   -46.72       0.929
   28.07    -6.29    20.13       26.61    -3.48    19.27       3.277
   29.14     7.81    35.41       25.20     7.42    34.47       4.069
   -6.92   -18.96   -41.05       -6.32   -19.18   -41.57       0.828
  -37.39     1.82   -27.71      -38.96     3.13   -27.99       2.064
   26.00    -3.57    34.50       23.50    -1.11    33.48       3.653
  -23.12    -1.59   -45.70      -22.98    -0.97   -47.08       1.524
  -34.09   -10.95   -40.99      -37.06   -10.80   -43.30       3.761
   19.36    -6.07    37.52       18.56    -4.40    37.44       1.849
   38.59    11.27     3.47       38.24    11.04     3.44       0.425
  -13.08   -29.06   -26.80      -12.18   -30.90   -26.58       2.060
   39.49    -1.25    -6.26       38.34    -0.42    -6.41       1.424
   15.71   -14.02     1.03       15.64   -13.81     0.94       0.246
   21.88    20.21    56.94       17.95    16.77    56.45       5.241
  -28.33     6.89   -15.97      -28.32     7.08   -15.70       0.336
   -5.42    -8.47   -47.20       -7.62    -8.88   -44.99       3.148
    2.29    24.66     6.85        4.12    23.17     7.11       2.374
   -8.33   -13.74    -4.09       -8.50   -14.99    -3.31       1.475
   -6.49   -18.00   -11.41       -5.87   -19.39    -9.82       2.202
   27.26    -4.16    29.27       24.54    -1.68    28.28       3.817
  -39.66    -2.43   -22.32      -41.50    -1.44   -22.14       2.093
   36.28    -6.36     4.98       34.81    -4.72     4.94       2.208
   15.09    22.82    21.86       15.20    23.36    21.94       0.554
   -8.26   -23.69   -37.59       -7.63   -24.30   -38.13       1.027
   19.06    -3.42    59.54       17.70    -2.29    59.39       1.779
  -13.88    21.78    32.52      -13.44    21.18    32.20       0.815
  -33.13   -18.59   -13.18      -34.97   -19.66   -11.21       2.901
   -2.39    20.83    57.01       -0.13    17.39    56.64       4.136
  -24.68   -28.35   -32.15      -25.26   -31.45   -33.48       3.424
   26.30    14.65    45.40       22.52    12.58    44.84       4.346
  -19.45   -30.06   -30.65      -18.99   -32.37   -31.14       2.399
   24.92    22.34     1.34       25.67    23.87     1.49       1.713
   31.77    -4.40    21.57       28.24    -1.84    19.13       4.997
  -10.16    -7.85    18.93       -7.70    -6.07    18.14       3.138
   -6.61     0.32    48.80       -6.12     0.49    48.78       0.514
   30.26   -11.99    -7.02       28.98   -10.15    -6.91       2.255
   12.76    15.08   -32.41       13.80    16.01   -29.82       2.943
  -13.08     9.94     3.98      -10.55     7.10     4.42       3.832
  -23.18     8.47   -16.39      -23.20     7.98   -16.85       0.665
   25.49    -6.61    23.12       24.05    -3.97    22.43       3.090
    8.25    13.50   -24.36       12.44    15.57   -24.70       4.686
   36.10    13.12    -2.67       36.49    13.53    -2.73       0.568
   21.55    22.95     2.96       22.44    25.19     3.18       2.425
   18.37    23.84     2.85       19.03    26.39     3.03       2.641
  -30.42   -26.45   -28.56      -32.37   -29.28   -28.98       3.462
   23.18   -11.07   -23.08       23.41   -10.63   -22.65       0.654
    1.91    23.31    30.19        1.87    22.89    30.08       0.434
  -29.13     5.65   -37.77      -29.48     6.59   -38.27       1.119
   20.39    -3.41    53.47       18.70    -1.88    53.18       2.308
  -33.53    -9.29   -41.87      -35.58    -8.49   -44.26       3.243
   12.41    -6.69    42.22       12.38    -6.28    42.21       0.413
   19.27    21.70   -23.45       20.42    23.44   -25.02       2.613
    1.59    -8.38   -28.63        0.89    -8.54   -28.15       0.862
   21.96   -10.91     3.53       21.67    -9.95     3.14       1.080
  -13.36     1.63    22.56       -9.65     2.35    21.85       3.838
   18.70    -3.23   -21.07       17.84    -3.17   -22.77       1.904
  -20.89   -29.86   -25.75      -20.83   -32.64   -25.53       2.790
  -19.43     2.41    -3.80      -17.88     1.26    -4.91       2.231
   13.56    -7.37    25.32       13.49    -6.62    25.22       0.763
   26.74    18.87   -20.58       27.90    20.14   -21.83       2.133
  -11.14    22.36    30.90      -11.61    23.01    31.24       0.877
   42.73     1.92     9.22       38.96     2.96     7.60       4.234
   26.94    14.44    38.21       23.43    12.80    37.75       3.906
   35.60     6.94    17.88       32.27     6.17    15.64       4.080
   13.99    23.85    58.42       13.23    20.39    58.05       3.561
