400 PA5-J-OurOutput-Iter=1.txt 6
-10.490786   -12.473612   -8.465205   -2.808642   -33.680766   -24.167387
  -17.48   -33.96   -17.18      -18.68   -31.40   -18.24       3.018
   -6.90   -29.82   -16.48       -8.80   -27.42   -17.95       3.399
   -9.53     4.47    51.78       -6.92     4.70    52.03       2.636
   -5.02     9.81   -10.96       -4.80     8.89   -10.90       0.943
   16.44     0.04   -27.69       20.06     1.40   -24.89       4.770
   -4.93    14.18    51.74       -4.52    13.93    51.66       0.484
   -1.74    -2.60   -26.89       -1.07    -2.26   -27.39       0.901
   11.00    -8.73    31.32       10.74    -6.52    31.19       2.228
  -23.29     3.52    -9.86      -22.33     1.89   -11.14       2.281
   11.80   -20.02   -10.76       12.36   -16.60   -10.30       3.494
   32.60    -0.08     9.15       34.76    -1.85    11.28       3.516
   33.54     3.37   -23.09       33.69     3.36   -23.20       0.185
  -16.51    12.20   -21.58      -17.01    11.03   -22.11       1.376
   36.66     2.29     3.30       38.93     1.21     3.25       2.511
   10.37    18.09    51.42       10.31    21.20    51.95       3.155
   23.27     6.33    38.81       24.38     6.37    39.01       1.124
   -4.52   -16.31    -0.18       -4.66   -14.13    -1.53       2.575
   -1.66     9.07   -12.87       -1.65     9.02   -12.86       0.052
   28.14   -14.36   -22.79       26.82   -11.39   -20.59       3.923
    3.02     9.97   -11.35        2.87    10.34   -11.49       0.421
    8.81    28.39    12.36        9.22    25.58    11.93       2.879
   33.28    -2.89   -21.29       34.03    -3.00   -21.43       0.775
  -26.42    -1.40    -8.33      -25.64    -2.37    -9.78       1.913
  -24.40    -2.10   -49.82      -23.94    -2.10   -47.68       2.185
  -11.09     8.51    25.74      -10.98     8.66    25.72       0.188
  -20.40   -33.22   -38.25      -20.19   -30.61   -36.68       3.056
  -38.19   -13.46   -45.50      -36.44   -12.88   -44.06       2.340
   31.59    -9.19   -14.33       31.51    -9.09   -14.34       0.135
  -19.79   -32.09   -13.92      -20.26   -29.88   -15.22       2.609
    1.87    20.38    42.22        1.87    20.34    42.21       0.035
   17.82   -12.62     2.77       17.62   -12.29     2.60       0.415
  -27.10   -16.86    -5.43      -26.53   -16.78    -6.91       1.589
   22.01     5.58    47.63       22.77     5.43    47.73       0.779
   -7.11    -7.69    18.28       -6.67    -7.21    18.16       0.659
   -0.37   -24.35   -34.85       -2.51   -22.40   -33.60       3.155
  -23.96   -12.28    -4.11      -23.42   -12.07    -5.29       1.316
    7.11    -8.99    36.00        6.87    -6.85    35.98       2.158
    3.53    -8.44   -24.90        3.86    -8.33   -25.35       0.562
  -40.26     3.34   -33.13      -38.73     2.15   -32.56       2.024
    4.31    21.95    -4.16        6.37    20.64    -3.48       2.536
   -7.03    14.13    44.32       -6.54    14.03    44.16       0.529
  -43.85   -18.51   -30.68      -41.65   -17.80   -29.32       2.680
  -21.52   -33.79   -37.73      -21.29   -30.93   -36.00       3.346
  -32.45    -9.28    -6.47      -31.92    -9.29    -7.10       0.824
  -32.35   -14.74   -49.66      -31.81   -13.41   -46.52       3.454
