150 PA5-D-OurOutput-Iter=3.txt 6
12.704951   -69.757397   38.953353   -128.656626   -52.744043   -51.934296
    7.91    -7.24    26.39        8.06    -7.87    26.44       0.649
    5.60    21.66    29.32        5.67    22.63    29.73       1.050
  -23.89     0.54    -9.57      -23.87     0.52    -9.58       0.032
   -3.96   -18.19   -36.52       -3.79   -18.24   -36.64       0.219
   -7.03    13.96    28.58       -9.09    13.39    28.97       2.171
   -7.39     2.55   -32.78       -7.48     2.55   -32.79       0.096
   36.63    16.11   -10.68       36.69    16.15   -10.67       0.068
   16.56     5.41   -25.24       17.01     5.27   -24.44       0.931
  -44.37   -18.14   -33.84      -42.19   -18.06   -33.30       2.246
   -6.40     8.43    59.17       -5.96     8.12    59.17       0.536
  -19.41   -18.67   -49.15      -19.88   -18.25   -47.45       1.816
   -5.91   -30.80   -17.49       -6.87   -29.12   -17.84       1.969
   16.97    -5.65    17.65       17.16    -6.49    17.72       0.863
    6.78   -16.43   -19.39        6.18   -15.78   -19.11       0.935
   32.08    -2.44     6.17       32.99    -3.78     6.55       1.669
    2.21    24.82    25.03        2.35    25.09    25.05       0.308
  -11.70    -1.10     6.83      -12.30    -1.01     7.11       0.678
   -7.77   -22.91   -40.61       -8.18   -22.74   -40.31       0.540
  -20.65   -17.05    -3.49      -20.67   -16.99    -3.73       0.252
   -1.07    30.12    16.72       -2.33    27.74    16.87       2.703
  -15.06     9.47   -19.24      -15.13     9.86   -19.09       0.418
    3.50   -20.52   -13.15        2.63   -19.37   -13.01       1.452
   39.96     3.27   -11.30       39.81     3.32   -11.27       0.156
  -22.00    -9.03   -49.68      -22.25    -9.59   -48.53       1.307
  -25.65    14.03   -32.21      -24.96    12.12   -31.45       2.163
  -18.70     0.64    -4.05      -18.64     0.57    -4.10       0.107
   -8.64   -32.29   -18.61       -9.30   -30.74   -19.01       1.733
   13.50    28.67    12.31       13.68    28.02    11.97       0.763
   21.65   -15.07    -4.76       21.67   -15.09    -4.72       0.046
   -2.31    16.45    37.58       -3.32    17.58    38.49       1.772
  -10.49    -0.07    26.14       -7.66     0.02    25.73       2.859
   17.21    24.71    26.29       16.96    23.42    25.84       1.386
   -5.17     8.26    -7.82       -5.33     8.61    -7.76       0.391
   33.41     6.51   -31.76       32.14     6.70   -30.56       1.759
  -40.46   -28.34   -22.34      -39.06   -27.19   -22.32       1.803
  -15.18    26.42     9.38      -10.89    24.52    12.60       5.694
  -16.80   -22.73    -4.01      -16.94   -22.48    -5.21       1.228
   -9.46     3.55    14.99       -9.35     3.55    14.95       0.116
   22.74    25.42    15.19       22.42    24.98    15.09       0.545
    4.25    15.37    51.10        3.90    16.24    51.32       0.962
   13.06   -19.37    -3.92       12.99   -18.13    -4.21       1.271
    5.53    25.69    20.96        5.55    25.31    20.86       0.394
   -5.24     9.32   -10.52       -5.22     9.07   -10.55       0.248
   16.03    21.51    36.84       16.09    21.32    36.74       0.225
  -14.81     6.25   -10.53      -14.75     6.00   -10.68       0.299
   12.63     8.19    55.34       16.81    11.19    56.70       5.320
   37.96    13.51   -25.79       36.14    12.90   -23.83       2.740
   17.86   -11.53   -17.70       17.94   -11.69   -18.03       0.379
   18.64     4.48    35.83       22.06     3.85    36.33       3.518
   16.28    12.38    40.43       19.82    13.73    41.23       3.878
  -45.67   -14.98   -16.00      -44.17   -14.65   -16.46       1.607
    7.09   -17.67    -6.26        7.27   -16.60    -6.10       1.097
   22.74    27.10    12.87       21.92    25.97    12.59       1.419
   -8.18    28.34     4.34       -6.62    23.93     9.65       7.079
  -11.10   -20.74    -3.54      -11.26   -19.94    -5.07       1.731
  -28.39   -23.54    -3.23      -28.37   -23.18    -3.70       0.589
   -0.25   -26.05   -23.35       -0.84   -25.24   -23.12       1.027
  -34.75     8.25   -18.20      -34.24     7.51   -18.34       0.906
   19.43   -16.78   -12.43       19.42   -16.84   -12.47       0.070
  -23.47   -23.25    -4.15      -23.55   -23.06    -4.65       0.541
  -27.39   -21.08   -48.63      -27.07   -20.58   -46.48       2.230
   18.75     3.73    35.13       22.03     3.13    35.61       3.373
   22.45    29.54   -24.74       21.97    28.79   -24.41       0.950
   -4.88   -10.47    12.06       -4.58    -9.66    11.69       0.931
   15.57    -5.38    21.07       15.71    -6.37    21.16       1.001
  -40.62   -22.45   -12.19      -39.49   -21.80   -12.95       1.504
   -4.05    -8.80    64.48       -3.28    -7.78    63.68       1.510
  -23.74   -37.03   -29.42      -23.92   -35.18   -29.03       1.897
   31.28    19.37     5.12       31.93    20.01     5.38       0.948
   18.29    19.46   -19.83       16.37    18.73   -19.59       2.069
  -37.26     5.97   -33.88      -36.41     4.94   -33.45       1.407
   20.83    -6.29   -22.03       20.51    -7.34   -22.65       1.253
   11.70    -3.13    62.56       11.67    -3.03    63.45       0.900
   17.57    23.30   -31.85       17.58    23.13   -31.64       0.269
  -14.69    -3.21   -47.96      -14.87    -3.40   -46.49       1.495
   -6.15   -30.35   -15.31       -7.04   -28.70   -15.73       1.925
  -37.27     2.33   -41.23      -36.24     1.05   -39.61       2.309
   30.49    10.74   -31.51       30.45    10.75   -31.74       0.232
   12.56    17.09    45.24       14.29    19.61    45.72       3.097
   11.18    -7.67    17.29       11.48    -8.29    17.39       0.695
  -30.63   -34.92   -17.61      -29.82   -33.02   -18.57       2.280
  -38.30     0.43   -42.07      -37.17    -0.82   -40.35       2.410
    9.11    18.39    48.34        8.77    19.11    48.34       0.795
  -10.02   -29.75    -9.98       -9.93   -28.75   -12.20       2.438
   -5.66    10.59    37.00       -6.28    10.72    37.17       0.662
   -9.39    -4.15    13.89       -9.37    -4.14    13.89       0.028
   35.38    -2.74    -9.91       35.43    -2.82    -9.91       0.093
   16.85    19.61    36.70       16.34    21.07    37.42       1.715
  -39.91   -27.03   -32.86      -38.42   -25.89   -32.36       1.938
    4.44   -11.28    15.98        4.44   -11.15    15.94       0.128
    2.86    -7.57    65.11        2.75    -7.29    63.87       1.276
   38.74    14.10   -17.37       37.61    14.10   -17.08       1.170
   37.58     6.10   -29.46       35.85     7.29   -27.21       3.081
   -1.26    -9.10    26.54       -0.84    -8.38    26.56       0.833
    6.15    -8.23    48.59        6.15    -8.26    48.59       0.025
