150 PA5-D-OurOutput-Iter=9.txt 6
19.883375   -90.268412   63.866177   -165.143159   -79.028835   -87.027558
    9.54    -7.14    26.74        9.65    -7.36    26.78       0.256
    7.00    21.71    30.00        7.00    21.68    29.99       0.029
  -23.31     0.62    -8.27      -23.40     0.73    -8.18       0.161
   -3.93   -17.65   -35.92       -4.14   -17.56   -35.81       0.254
   -5.56    13.88    29.53       -5.68    13.88    29.55       0.120
   -7.47     3.02   -31.90       -8.19     3.17   -31.99       0.741
   36.99    16.85   -10.87       36.93    16.81   -10.89       0.078
   16.65     6.07   -24.99       16.47     6.11   -25.23       0.296
  -44.25   -18.05   -32.15      -44.08   -18.04   -32.13       0.167
   -4.04     8.08    60.04       -3.91     7.95    60.02       0.189
  -19.71   -18.18   -48.13      -19.86   -18.04   -47.76       0.422
   -5.23   -30.45   -16.96       -5.30   -30.27   -17.01       0.201
   18.34    -5.37    17.77       18.31    -5.33    17.76       0.057
    7.26   -15.93   -19.08        7.41   -16.05   -19.15       0.203
   33.10    -1.90     5.91       33.07    -1.88     5.90       0.038
    3.47    24.87    25.83        3.34    24.68    25.73       0.246
  -10.66    -1.03     7.78      -10.72    -1.01     7.82       0.079
   -7.80   -22.37   -39.95       -8.10   -22.32   -39.73       0.378
  -19.72   -16.99    -2.44      -19.71   -17.00    -2.42       0.026
   -0.09    30.21    17.66       -0.61    29.45    17.58       0.927
  -14.84     9.74   -18.09      -14.87     9.88   -18.03       0.162
    4.19   -20.12   -12.78        4.08   -19.97   -12.77       0.181
   40.43     4.05   -11.70       40.27     4.13   -11.67       0.182
  -22.41    -8.56   -48.51      -22.35    -8.57   -48.11       0.400
  -25.82    14.30   -30.73      -25.70    13.95   -30.56       0.405
  -17.98     0.73    -2.89      -17.94     0.67    -2.92       0.075
   -7.97   -31.96   -18.02       -8.07   -31.71   -18.07       0.270
   14.36    28.96    12.85       14.29    29.12    12.88       0.181
   22.50   -14.54    -4.84       22.59   -14.54    -4.73       0.142
   -0.62    16.34    38.42       -0.53    16.28    38.34       0.132
   -8.94    -0.17    27.06       -8.21    -0.12    27.06       0.727
   18.50    24.90    26.68       18.35    24.52    26.53       0.440
   -4.63     8.52    -6.95       -4.66     8.57    -6.94       0.056
   33.30     7.40   -31.95       33.00     7.53   -31.78       0.360
  -39.92   -28.31   -20.85      -40.09   -28.52   -20.80       0.275
  -14.36    26.42    10.67      -13.92    26.53    11.11       0.628
  -15.83   -22.62    -3.12      -15.82   -22.62    -3.34       0.211
   -8.25     3.57    15.91       -8.18     3.57    15.90       0.072
   23.71    25.77    15.45       23.55    25.63    15.41       0.215
    6.31    15.21    51.75        6.42    15.11    51.75       0.151
   13.99   -18.94    -3.81       14.01   -18.77    -3.79       0.173
    6.66    25.81    21.69        6.57    25.49    21.66       0.333
   -4.79     9.61    -9.65       -4.78     9.55    -9.66       0.058
   17.63    21.61    37.23       17.65    21.69    37.26       0.095
  -14.32     6.44    -9.42      -14.31     6.37    -9.47       0.080
   14.88     8.08    55.69       15.89     8.72    56.05       1.250
   37.93    14.40   -26.04       37.48    14.31   -25.93       0.477
   18.33   -10.93   -17.64       18.32   -11.04   -17.87       0.254
   20.39     4.61    36.00       20.99     4.51    36.07       0.616
   18.07    12.45    40.73       18.64    12.62    40.88       0.613
  -45.10   -15.07   -14.25      -45.27   -15.11   -14.20       0.184
    7.94   -17.28    -5.97        7.93   -17.11    -5.99       0.173
   23.63    27.47    13.14       23.42    27.26    13.02       0.326
   -7.52    28.46     5.46       -6.99    27.50     6.60       1.578
  -10.15   -20.57    -2.79      -10.02   -20.67    -3.23       0.472
  -27.38   -23.56    -2.04      -27.31   -23.65    -1.80       0.268
    0.22   -25.59   -22.93        0.18   -25.51   -22.90       0.093
  -34.48     8.30   -16.53      -34.44     8.20   -16.55       0.106
   20.09   -16.20   -12.46       20.10   -16.33   -12.60       0.184
  -22.50   -23.21    -3.08      -22.45   -23.24    -2.92       0.166
  -27.64   -20.68   -47.42      -27.59   -20.62   -47.28       0.165
   20.49     3.87    35.29       21.01     3.78    35.42       0.542
   22.30    30.25   -24.42       22.45    30.40   -24.84       0.469
   -3.60   -10.37    12.74       -3.38   -10.03    12.48       0.485
   17.02    -5.15    21.24       17.05    -5.19    21.24       0.043
  -39.86   -22.52   -10.65      -39.95   -22.55   -10.61       0.098
   -1.37    -9.17    65.12       -1.33    -9.10    64.26       0.869
  -23.31   -36.76   -28.46      -23.33   -36.65   -28.45       0.113
   32.04    19.90     5.10       32.15    20.01     5.15       0.160
   18.38    20.08   -19.49       18.08    19.93   -19.46       0.340
  -37.39     6.13   -32.16      -37.29     6.00   -32.11       0.170
   21.12    -5.62   -22.00       21.03    -5.90   -22.14       0.322
   14.26    -3.31    62.83       14.46    -3.53    63.24       0.505
