150 PA5-B-OurOutput-Iter=3.txt 6
30.898807   100.082852   41.286716   -8.083851   -10.685975   9.494938
    6.37     4.38   -16.64        6.50     4.94   -17.13       0.755
  -21.04   -31.20   -20.41      -21.04   -31.69   -20.35       0.488
  -36.42   -14.77   -49.64      -34.67   -14.15   -47.25       3.032
   33.15    -3.68   -12.06       33.87    -3.99   -12.02       0.783
   18.73    15.31    62.00       19.19    15.63    62.06       0.562
   -5.99   -14.11   -45.08       -6.33   -13.94   -44.64       0.586
  -13.34    21.42    21.49      -11.88    20.91    22.09       1.657
  -17.43    -3.47    -5.03      -18.32    -2.77    -4.46       1.263
   -3.98     7.25    64.13       -4.86     7.50    64.19       0.918
    9.16    22.98     8.09        8.78    24.50     8.13       1.568
  -18.82     1.66   -15.62      -19.36     3.74   -14.84       2.292
   -0.02   -11.57   -28.25        0.28   -11.57   -28.40       0.336
   19.46    20.24    23.02       19.88    21.66    23.01       1.483
   -4.16     0.51    52.02       -4.26     0.47    52.03       0.112
   27.18     7.53    20.42       28.38     7.72    20.85       1.284
   32.07    -5.24   -11.34       32.41    -5.64   -11.20       0.535
   18.68    -4.68    17.72       18.74    -5.20    17.83       0.538
   24.78    12.07    22.24       26.43    12.53    22.68       1.767
  -13.47    18.61    21.29      -12.67    18.30    21.70       0.959
   17.18    20.91    38.75       17.55    21.67    38.77       0.843
  -36.89     1.75   -24.65      -38.11     2.81   -24.11       1.701
   33.57     9.30    -9.27       35.65     9.77    -9.47       2.135
  -14.50    -8.11   -51.45      -14.55    -8.36   -49.41       2.060
   19.70    22.56     2.72       20.44    24.71     2.79       2.276
   29.27     8.17   -25.05       30.35     9.19   -26.08       1.806
   -8.82   -15.96    -9.12       -8.81   -16.91    -8.39       1.196
   12.97    22.34    -4.60       12.24    24.25    -5.02       2.082
   20.30    -6.86     4.23       20.53    -8.07     4.63       1.288
  -30.24     4.10   -20.32      -31.83     5.91   -19.13       2.686
    3.33    11.21    -5.70        3.15    11.60    -5.87       0.470
   14.85    -5.18   -26.13       16.64    -5.72   -23.55       3.187
   21.67    -0.52    49.42       20.88     0.32    49.23       1.169
  -27.72   -13.61   -11.15      -27.46   -14.69    -8.66       2.723
   -5.07     5.25    63.33       -5.04     5.26    63.33       0.038
   -3.61    16.71    10.16       -2.63    16.14    10.65       1.237
   -3.15    -0.75    58.48       -3.48    -0.97    58.48       0.403
   -5.14     2.52    34.08       -5.50     2.54    34.11       0.365
    0.82   -15.48    -8.18        0.87   -15.92    -7.97       0.490
   13.41    -4.84    16.22       13.65    -6.24    16.53       1.451
   -1.92     1.39    67.32       -1.82     1.28    66.18       1.157
   -0.54   -15.76    -8.52       -0.49   -16.23    -8.30       0.526
  -21.77     7.07   -24.35      -21.66    10.48   -24.58       3.423
   22.21     7.29    66.43       21.43     7.56    65.01       1.646
  -27.33   -15.78   -11.75      -27.71   -16.28    -9.33       2.506
    2.49     7.55    67.16        2.61     7.57    66.49       0.679
    2.47   -17.05   -18.11        2.46   -17.03   -18.11       0.015
  -31.80   -28.31   -42.59      -30.75   -26.28   -41.24       2.657
  -40.75   -17.79   -20.72      -41.09   -17.94   -20.56       0.407
   30.70     7.81   -19.01       32.96     8.82   -19.73       2.575
   -2.47    18.42    37.18       -2.96    20.53    38.06       2.331
    7.59    18.27    62.71        6.92    19.72    62.70       1.595
   -8.38   -26.09   -40.66       -8.90   -25.22   -40.06       1.180
   -4.92     1.00    44.56       -4.91     1.00    44.56       0.001
  -10.17     4.46     4.72      -10.61     4.98     4.63       0.686
  -39.81   -24.22   -39.17      -37.62   -22.89   -37.86       2.878
   -8.47     8.25    13.86       -9.03     8.60    13.71       0.688
   17.69    21.21   -14.95       17.23    23.55   -15.23       2.409
    6.39   -13.77   -20.51        6.01   -13.43   -20.35       0.545
    4.00    -4.97    60.00        3.95    -5.66    59.99       0.693
   35.58     0.90     3.96       36.65     0.40     3.89       1.190
  -12.19   -19.48   -49.45      -12.47   -19.73   -47.43       2.052
   24.57   -12.04   -21.19       24.27   -10.85   -20.35       1.492
