400 PA5-F-OurOutput-Iter=1.txt 6
23.123021   30.913036   8.644017   -43.903339   20.347258   -31.787530
   21.60    14.21   -29.39       22.01    14.33   -30.06       0.799
   11.52   -18.03    -0.17       11.78   -15.64    -0.62       2.436
   -7.77     0.35    38.63       -6.42     0.73    38.58       1.406
  -45.33   -19.75   -29.14      -42.05   -18.31   -28.41       3.658
  -11.90    -1.65    -1.41      -15.97     1.36     0.26       5.331
   13.02    -5.03   -22.82       13.09    -5.04   -22.14       0.686
   -5.61     3.34     6.48      -10.04     7.68     5.29       6.314
  -32.73   -13.67    -6.33      -32.35   -13.38    -7.08       0.892
   21.95     6.43   -23.05       19.10     4.95   -25.18       3.853
   34.63     3.79   -29.68       31.01     4.21   -27.56       4.212
  -25.88   -27.41   -48.28      -25.43   -24.08   -43.45       5.876
   -6.49   -17.94   -42.66       -6.71   -17.89   -42.38       0.359
   36.83    12.42   -13.89       35.90    12.27   -13.55       0.995
  -15.33    -5.29    -3.16      -18.08    -5.86    -1.49       3.273
  -10.90   -24.08    -6.41      -13.34   -22.55    -9.36       4.118
   22.09    -1.53    20.82       23.61    -4.41    21.62       3.352
  -23.90     3.58   -17.71      -24.12     5.91   -14.79       3.746
   -7.46     4.47    24.26       -9.34     4.05    24.75       1.986
    0.49     5.28    -9.91        0.04     9.77   -10.98       4.637
   32.37    -1.02     8.28       34.65    -2.89    10.53       3.710
   10.79   -18.69    -2.34       11.45   -16.23    -3.13       2.667
   -5.70   -28.67   -34.51       -7.58   -26.93   -33.73       2.679
  -19.41   -36.49   -23.80      -19.86   -32.50   -24.24       4.046
    7.90    -3.99    66.86        7.89    -4.03    63.41       3.455
  -40.05     0.07   -34.98      -39.54    -0.28   -34.76       0.654
   35.45    11.80   -21.02       34.12    11.39   -20.42       1.515
  -10.56   -22.00   -46.71      -11.44   -19.95   -45.48       2.551
   20.85     4.25    29.42       26.09     3.88    30.75       5.421
  -43.17    -3.79   -36.91      -40.61    -4.53   -35.88       2.862
  -29.99   -35.61   -22.24      -28.07   -31.61   -23.25       4.547
    4.70    14.92     4.98        1.48    17.25     2.94       4.465
   27.60    21.27   -19.56       27.78    21.52   -19.63       0.309
    8.73    -1.77   -21.75        8.83    -1.74   -22.10       0.359
    2.67    14.83     6.80        0.31    17.63     4.72       4.214
    0.07    21.47    17.83       -0.39    23.72    17.89       2.295
  -40.74   -13.02   -11.58      -39.01   -12.77   -12.77       2.118
  -11.75   -34.50   -26.42      -12.77   -31.16   -26.57       3.493
  -20.76   -23.48    -7.31      -20.86   -22.87    -8.28       1.154
   19.48    19.23   -19.40       21.49    24.70   -19.77       5.848
   -2.52    21.94    26.82       -2.02    24.15    26.80       2.264
    6.49   -19.20   -19.65        4.47   -16.82   -18.79       3.239
    6.64    19.56    25.15        6.60    23.26    25.57       3.725
   13.23    11.57    57.78       13.03    11.66    63.10       5.322
  -30.25   -12.72   -51.58      -28.74   -12.59   -47.66       4.206
   23.22   -15.20   -11.36       23.39   -15.41   -11.33       0.270
    0.31    -7.04    29.12        0.22    -7.83    29.25       0.808
   -2.79    -4.32    58.21       -3.02    -4.52    58.23       0.305
  -18.15    -8.67   -50.59      -18.42    -9.08   -48.74       1.907
   19.01    16.71   -21.54       14.68    13.49   -20.34       5.530
   13.28    17.33    -4.42        9.25    16.41    -9.23       6.346
  -24.77     5.42   -39.92      -25.05     6.22   -40.76       1.192
   16.74    18.61    -9.52       12.20    16.20   -12.30       5.850
  -13.98   -32.81   -16.10      -15.12   -29.79   -17.67       3.592
    5.59    19.01     9.58        2.95    22.54     8.26       4.597
   -9.96    20.87    20.10      -10.87    22.16    18.71       2.097
   19.96     1.00    30.17       22.68    -2.70    30.67       4.620
   -1.34    21.18    27.78       -0.88    23.78    28.37       2.705
   19.00    19.71   -14.20       18.57    25.54   -14.37       5.854
    0.32    -4.30    70.10        0.40    -4.62    63.47       6.647
    4.53     7.35    -3.83        2.56    12.45    -6.29       5.999
  -40.92   -11.48   -45.79      -37.33   -11.67   -43.00       4.551
  -20.98   -24.13   -50.59      -20.45   -22.20   -46.27       4.765
    9.52   -11.14    15.57        9.14    -9.28    14.90       2.013
  -11.74    -5.08     2.46      -14.13    -5.93     4.22       3.088
    5.05   -16.68    -2.39        5.04   -14.79    -3.10       2.020
  -29.12   -29.34   -44.76      -27.69   -25.67   -41.69       4.996
  -44.10   -14.91   -40.38      -39.29   -14.52   -39.39       4.928
   -8.04     1.98    40.37       -6.60     2.21    40.30       1.456
   -7.01     5.38   -23.19       -5.97     6.71   -23.98       1.871
   -0.16    11.94     8.46       -3.43    15.01     6.72       4.811
  -25.20     7.71   -36.04      -25.56     8.80   -36.87       1.415
   36.68     2.90   -27.24       32.54     3.22   -24.88       4.779
   38.59     3.58   -10.13       39.18     3.62   -10.31       0.612
    5.39     0.02    69.75        5.36     0.13    63.34       6.404
  -38.58   -28.37   -21.19      -36.48   -25.91   -21.81       3.289
   25.16    11.20    19.83       28.14    12.05    20.83       3.257
   34.58    12.60    -3.50       36.22    13.80    -3.56       2.025
   14.74     1.15    57.67       18.16    -1.90    58.18       4.611
   -7.48    -2.02   -38.73       -6.19    -1.06   -39.76       1.908
    8.27    -3.30    66.16        8.27    -3.32    63.40       2.757
   12.58    21.28    22.82       12.71    23.58    23.19       2.333
   -5.65     4.09   -22.79       -4.36     5.61   -23.72       2.199
   31.77    16.04    -4.52       33.22    17.22    -4.39       1.877
   17.63     8.28    42.30       23.51     8.74    43.40       6.003
   -6.43    -1.93    38.72       -5.87    -1.82    38.65       0.576
   11.79    13.71    58.42       11.90    13.72    63.10       4.690
  -21.45   -29.93   -12.60      -21.26   -28.67   -13.46       1.536
    1.14   -23.29   -33.38       -1.94   -21.62   -32.81       3.553
   22.96   -15.27    -9.85       23.08   -15.42    -9.82       0.193
   11.68    -4.44    27.89       11.99    -6.53    27.97       2.115
   38.53     1.64    -6.44       39.37     1.05    -6.43       1.026
  -21.54    -8.18    -7.87      -23.37    -7.67    -5.41       3.113
  -35.18    -0.30   -13.68      -35.69     0.01   -13.18       0.778
   26.98    -8.33   -23.01       27.15    -8.74   -23.69       0.813
   -1.59    -4.11    41.20       -2.18    -5.65    41.14       1.640
  -38.28   -28.74   -37.73      -34.87   -25.44   -35.80       5.129
   31.32    19.02   -17.90       30.95    18.80   -17.79       0.438
   -7.83     1.90    41.24       -6.56     2.10    41.25       1.294
