400 PA5-F-OurOutput-Iter=3.txt 6
48.801107   46.980094   29.518912   -93.821047   31.243903   -61.072725
   21.33    15.66   -29.62       21.24    15.61   -30.12       0.514
   11.45   -16.73    -0.50       11.36   -15.70    -0.72       1.059
   -7.24     1.48    38.68       -5.62     1.79    38.62       1.650
  -45.79   -17.91   -28.74      -43.67   -17.36   -27.62       2.465
  -11.90    -0.21    -1.32      -13.41     0.92    -0.68       1.994
   12.72    -3.58   -23.08       12.71    -3.59   -23.20       0.117
   -5.47     4.69     6.53       -7.19     6.13     6.61       2.244
  -32.86   -12.07    -6.06      -32.71   -12.10    -6.29       0.277
   21.72     7.83   -23.34       20.34     7.17   -24.61       1.988
   34.29     5.17   -30.16       32.45     4.97   -29.10       2.137
  -26.64   -25.54   -48.18      -26.29   -23.52   -46.40       2.714
   -7.12   -16.22   -42.75       -7.12   -16.22   -42.76       0.005
   36.75    13.67   -14.33       36.07    13.43   -14.28       0.714
  -15.37    -3.82    -3.05      -16.75    -3.24    -2.63       1.557
  -11.10   -22.60    -6.49      -11.04   -21.48    -8.41       2.226
   22.39    -0.45    20.47       23.19    -1.34    20.84       1.255
  -24.07     5.21   -17.43      -23.66     6.96   -16.10       2.237
   -7.08     5.70    24.34       -7.68     5.39    24.38       0.673
    0.43     6.71    -9.93        0.33     8.51    -9.99       1.797
   32.50     0.09     7.80       33.39    -0.57     8.47       1.294
   10.68   -17.37    -2.67       10.69   -16.44    -3.03       0.991
   -6.28   -27.02   -34.69       -7.07   -26.00   -34.33       1.339
  -19.91   -34.84   -23.86      -20.19   -32.95   -24.03       1.918
    8.78    -3.17    66.67        8.86    -3.10    67.16       0.504
  -40.47     1.92   -34.51      -40.60     2.01   -34.55       0.159
   35.27    13.11   -21.45       34.20    12.82   -21.23       1.131
  -11.27   -20.23   -46.78      -11.60   -20.19   -46.29       0.591
   21.29     5.28    29.13       23.17     5.10    29.52       1.936
  -43.64    -1.90   -36.42      -42.54    -2.08   -36.02       1.188
  -30.46   -33.90   -22.15      -29.56   -32.23   -22.59       1.945
    4.89    16.22     4.97        4.01    16.77     4.47       1.146
   27.50    22.62   -19.81       27.35    22.40   -19.70       0.287
    8.46    -0.30   -21.93        8.51    -0.09   -22.37       0.491
    2.88    16.12     6.82        2.44    16.48     6.49       0.660
    0.46    22.70    17.93        0.46    21.12    18.06       1.587
  -40.93   -11.34   -11.19      -40.18   -11.19   -11.68       0.906
  -12.27   -32.87   -26.57      -12.93   -31.41   -26.80       1.622
  -20.96   -21.94    -7.26      -20.96   -21.93    -7.28       0.025
   19.37    20.62   -19.56       15.89    21.68   -19.40       3.639
   -2.01    23.12    26.96       -2.23    22.29    27.00       0.859
    6.15   -17.73   -19.92        5.47   -16.79   -19.77       1.178
    7.11    20.70    25.15        7.10    21.27    25.22       0.577
   14.08    12.43    57.63       16.81    13.95    58.10       3.161
  -30.96   -10.80   -51.33      -30.50   -10.69   -50.02       1.392
   23.01   -13.89   -11.83       23.08   -14.05   -11.83       0.175
    0.68    -5.90    29.01        0.57    -6.20    29.06       0.326
   -2.02    -3.37    58.15       -1.92    -3.27    58.15       0.141
  -18.83    -6.83   -50.46      -18.98    -6.85   -50.01       0.471
   18.86    18.12   -21.72       16.71    16.00   -21.20       3.062
   13.35    18.64    -4.52       11.47    19.13    -6.80       2.994
  -25.22     7.22   -39.61      -25.33     7.80   -39.94       0.676
   16.76    19.94    -9.65       14.43    19.15   -10.87       2.746
  -14.35   -31.25   -16.21      -15.11   -29.84   -17.49       2.048
    5.86    20.27     9.59        5.28    20.89     9.42       0.861
   -9.54    22.14    20.32       -9.36    20.75    20.71       1.455
   20.39     2.03    29.86       21.93     1.32    30.12       1.714
   -0.82    22.35    27.90       -0.97    21.83    27.80       0.544
   18.96    21.06   -14.36       17.07    23.78   -14.66       3.321
    1.24    -3.45    70.01        1.38    -3.40    67.27       2.743
    4.56     8.71    -3.89        3.41    10.49    -4.77       2.295
  -41.55    -9.55   -45.39      -40.29    -9.85   -44.28       1.705
  -21.75   -22.28   -50.54      -21.55   -21.38   -48.86       1.924
    9.68    -9.95    15.31        9.66    -9.89    15.29       0.066
  -11.71    -3.67     2.52      -12.62    -4.31     3.18       1.294
    4.96   -15.33    -2.63        4.95   -14.48    -2.99       0.919
  -29.85   -27.48   -44.64      -29.09   -26.07   -43.26       2.113
  -44.68   -13.00   -39.96      -43.11   -13.04   -39.70       1.595
   -7.46     3.09    40.43       -5.87     3.40    40.38       1.622
   -7.25     6.95   -23.11       -7.14     7.08   -23.12       0.175
    0.05    13.24     8.49       -0.33    13.70     8.23       0.651
  -25.59     9.49   -35.70      -25.86    10.12   -35.94       0.731
   36.37     4.25   -27.75       34.49     4.34   -26.21       2.432
   38.51     4.79   -10.66       38.64     4.77   -10.68       0.131
    6.33     0.83    69.61        6.17     0.60    66.88       2.745
  -38.99   -26.63   -20.94      -38.20   -25.92   -21.28       1.107
   25.51    12.27    19.53       25.97    12.28    19.80       0.532
   34.64    13.79    -3.91       35.23    14.30    -3.93       0.777
   15.53     2.00    57.43       17.18     0.32    57.51       2.355
   -7.96    -0.33   -38.69       -7.73    -0.21   -38.82       0.292
    9.14    -2.47    65.96        9.31    -2.32    66.97       1.030
   13.04    22.39    22.75       13.00    22.63    22.80       0.246
   -5.89     5.65   -22.74       -5.68     6.51   -22.94       0.905
   31.83    17.25    -4.87       32.14    17.42    -4.76       0.368
   18.26     9.23    42.07       20.74     9.61    42.54       2.549
   -5.91    -0.81    38.73       -4.90    -0.19    38.69       1.182
   12.66    14.57    58.30       15.48    16.14    58.78       3.258
  -21.76   -28.35   -12.59      -21.76   -28.13   -12.83       0.319
    0.60   -21.69   -33.62       -0.87   -21.16   -33.48       1.568
   22.77   -13.97   -10.31       23.00   -14.17   -10.39       0.319
   12.05    -3.35    27.65       12.43    -4.87    27.91       1.584
   38.48     2.82    -6.99       38.55     2.78    -6.98       0.086
  -21.65    -6.64    -7.70      -22.25    -6.24    -6.75       1.194
  -35.32     1.37   -13.27      -36.03     2.16   -12.88       1.131
   26.66    -6.95   -23.47       26.64    -6.85   -23.43       0.115
   -1.05    -3.05    41.13       -1.39    -3.59    41.14       0.643
  -38.91   -26.88   -37.49      -37.56   -25.42   -36.81       2.097
   31.22    20.33   -18.22       31.00    20.17   -18.17       0.283
   -7.25     3.00    41.30       -5.84     3.25    41.32       1.436
   21.78    21.20   -26.78       21.89    21.38   -26.94       0.267
