150 PA5-G-OurOutput-Iter=9.txt 6
-27.284201   120.442647   16.174185   -117.501989   106.206509   -107.831832
   28.61    19.72     5.19       28.57    19.70     5.17       0.039
  -30.45   -22.16    -9.70      -30.43   -22.14    -9.73       0.040
    2.79    14.72    44.64        2.87    14.59    44.61       0.156
   -2.45    10.50    56.96       -2.79    10.57    56.99       0.352
    9.13     9.06    -5.72        9.14     9.03    -5.69       0.044
   -9.32    13.79    32.66       -9.41    13.87    32.71       0.136
   -6.52    15.38    32.50       -6.72    15.84    32.46       0.501
   -3.02   -10.74   -34.24       -2.90   -10.67   -34.63       0.412
   -0.29    -1.73    35.63       -0.38    -1.87    35.63       0.165
  -30.06    11.47   -26.57      -30.10    11.51   -26.56       0.056
   19.01    -1.32   -19.16       19.38    -1.60   -20.16       1.099
  -15.81   -17.90    -7.43      -15.79   -17.88    -7.61       0.178
  -43.05   -17.54   -17.58      -43.17   -17.59   -17.52       0.138
   29.15    -1.50   -16.38       29.60    -2.02   -16.31       0.685
    8.26    -6.57    31.29        8.21    -6.16    31.11       0.451
    7.62    12.24    65.00        7.61    12.23    64.99       0.016
  -31.09     9.30   -39.80      -31.12     9.45   -39.89       0.181
   13.32    24.29    14.10       14.08    23.93    13.60       0.974
   -4.08   -18.84   -38.48       -4.13   -18.84   -38.45       0.062
  -31.48   -32.18   -24.44      -31.47   -32.14   -24.45       0.041
   12.96    17.34    -1.90       12.18    17.27    -2.46       0.960
   -2.35    13.25    19.26       -2.44    13.55    19.21       0.315
   -4.94    -8.11   -36.56       -5.11    -8.11   -36.53       0.168
    8.60    -3.39    64.01        8.39    -3.19    63.90       0.313
   22.91    -9.36    -4.35       23.12    -9.42    -4.36       0.220
   28.74    19.62     0.27       29.17    19.65     0.32       0.433
   20.55    11.26   -24.41       20.61    11.26   -24.41       0.066
   16.78    22.88    22.91       16.81    22.65    22.92       0.234
  -38.50   -14.02   -51.90      -38.62   -14.10   -52.09       0.239
  -26.93   -27.71   -45.15      -26.93   -27.74   -45.17       0.034
   23.96     9.07   -24.69       23.84     9.10   -24.74       0.138
   14.98     7.50    63.63       14.96     7.49    63.47       0.164
   32.42     2.65   -27.93       32.40     2.68   -27.95       0.038
    7.03     8.36    -9.34        7.05     8.23    -9.33       0.132
   -7.56    14.96    30.51       -7.69    15.44    30.48       0.495
   -2.82    13.25    41.55       -2.23    12.61    40.73       1.199
   12.66    21.84    60.40       12.66    21.83    60.40       0.008
    9.02    19.95    20.82        9.20    19.68    20.79       0.318
  -44.72    -6.17   -20.00      -44.81    -6.19   -19.99       0.098
   17.14     3.26    48.51       17.27     3.20    48.51       0.147
   32.88     5.61     5.54       32.90     5.60     5.56       0.034
   22.83    -4.88     7.68       22.71    -4.84     7.62       0.141
    4.97    -4.18    40.53        5.01    -3.98    40.49       0.212
  -37.88   -19.52   -13.12      -37.84   -19.50   -13.14       0.045
   21.47     7.83   -20.50       21.20     7.54   -21.17       0.779
   20.97    26.97     6.47       20.85    26.51     6.39       0.486
  -15.51    10.16   -39.22      -15.57    10.11   -39.20       0.080
   -8.75     9.24    39.89       -8.42     9.91    38.68       1.419
   12.67    -1.56    48.19       12.64    -1.51    48.19       0.057
   -8.34     2.81    -0.47       -8.35     2.83    -0.47       0.025
  -13.72   -15.15   -51.41      -13.73   -15.14   -51.38       0.030
