400 PA5-E-OurOutput-Iter=1.txt 6
-0.833812   0.392431   -36.233714   55.375726   13.115682   -28.240562
   -1.91     3.74   -15.66       -1.69     8.21   -16.82       4.620
   26.30   -14.11   -22.59       25.42   -11.73   -20.82       3.093
  -19.63   -27.95   -16.55      -19.20   -29.78   -15.47       2.170
   -5.66    -7.26   -38.22       -3.55    -6.77   -39.96       2.785
   -6.53    -4.21    40.44       -4.93    -2.96    39.96       2.083
  -40.46   -21.88   -36.62      -38.47   -20.73   -35.79       2.444
   25.25     0.15    24.42       26.67    -0.47    24.85       1.603
  -13.77   -27.94   -37.59      -13.65   -28.38   -37.84       0.524
   30.14    -1.61   -17.64       34.50    -3.43   -19.65       5.134
   35.17     9.79    -2.52       38.13    11.46    -2.97       3.436
   17.00    -9.96    18.05       16.69    -7.17    17.60       2.847
   15.76   -18.59   -21.70       16.66   -13.93   -17.26       6.492
   -5.62    -2.44    44.98       -5.15    -2.21    44.97       0.522
   -1.79   -23.52   -27.10       -2.17   -23.29   -27.10       0.452
  -36.06    -8.10   -48.54      -33.82    -8.98   -45.93       3.553
    9.40   -20.40   -14.10        8.16   -16.16   -13.67       4.438
    4.81    -9.59   -24.70        4.74    -9.56   -24.60       0.126
   38.73    -0.43    -9.66       38.48    -0.29    -9.67       0.286
   -7.51    12.99    -0.70       -5.58    10.25    -0.31       3.373
  -36.41     7.99   -32.19      -34.96     6.24   -31.55       2.368
  -19.24    -4.61   -49.80      -19.67    -5.20   -48.55       1.453
   -6.68    20.67    36.10       -6.97    21.50    36.67       1.045
  -11.41    -7.34    16.74       -8.45    -5.73    16.18       3.420
   -8.08   -20.76   -41.83       -7.94   -20.90   -41.98       0.246
   10.70    26.31    43.60       11.96    21.85    43.59       4.638
    8.35   -17.66   -10.08        8.46   -15.99    -9.96       1.687
  -33.41   -28.76   -24.77      -33.46   -28.84   -24.76       0.098
   37.11     6.43    -4.00       39.70     7.47    -4.55       2.846
   -4.32    -2.42   -27.10       -2.30    -1.37   -28.47       2.664
   36.52    -1.73   -12.22       36.96    -2.04   -12.40       0.573
  -20.03    -1.46   -49.17      -20.28    -2.27   -47.38       1.977
  -10.98   -25.95   -22.67       -9.53   -28.84   -21.87       3.337
   -2.72    -5.36    36.76       -2.85    -5.80    36.87       0.471
    4.18   -11.49    16.19        3.97   -10.18    15.84       1.375
   24.82   -12.83    -3.92       24.78   -12.70    -4.02       0.169
   34.16     0.58   -16.57       36.19     0.78   -17.53       2.256
  -27.08     9.26   -14.61      -27.15     7.81   -16.25       2.189
   -6.08   -25.75   -31.81       -5.89   -25.96   -31.90       0.295
  -36.19   -27.34   -28.39      -35.76   -26.90   -28.32       0.616
  -16.44    15.82    39.87      -12.66    16.77    35.95       5.530
   26.35    -0.77   -29.04       26.47    -0.60   -28.72       0.378
  -19.44    13.30    44.72      -12.37    16.75    36.19      11.606
  -14.28   -27.54   -37.75      -14.07   -28.31   -38.18       0.904
  -40.87     4.02   -30.76      -39.11     2.78   -30.16       2.242
  -40.31   -12.57   -17.15      -41.46   -12.62   -16.52       1.314
   -3.22    -5.86   -28.01       -1.20    -5.14   -29.69       2.726
   24.96   -15.31   -16.96       24.47   -14.12   -16.61       1.340
  -17.62     8.29   -18.41      -17.70     8.97   -18.12       0.744
   13.38   -22.39   -19.12       15.08   -15.03   -15.40       8.428
   -7.15    -9.43   -43.34       -6.52    -9.32   -43.97       0.900
   32.34    -9.60     0.99       30.86    -8.25     0.65       2.035
  -11.07    -0.32    43.87       -6.36     0.96    43.81       4.878
   25.11    17.59     5.81       27.80    22.15     6.81       5.387
   -8.07    20.71    38.53       -7.88    20.16    38.15       0.688
  -26.11     1.09   -48.55      -25.14    -0.29   -46.38       2.743
   26.48     7.89   -24.62       29.44     6.79   -28.93       5.343
  -28.12   -19.21   -47.68      -27.72   -18.93   -46.59       1.190
   -3.14   -24.51   -31.45       -3.75   -23.95   -31.25       0.859
  -16.24     7.58   -38.11      -16.06     8.28   -38.57       0.858
   -1.09    10.95    -9.19       -0.82    10.09    -9.01       0.923
  -28.23   -20.76   -46.55      -27.99   -20.42   -45.90       0.775
  -24.31   -31.33   -24.30      -24.45   -32.64   -24.27       1.323
   26.03    17.92     5.22       28.74    21.78     5.33       4.718
   -1.87    20.26    33.27       -1.50    22.31    33.99       2.204
   19.45   -19.52   -14.23       19.86   -16.97   -13.28       2.743
   -2.27    21.65    38.23       -2.21    21.12    38.01       0.568
   32.55     1.05   -14.71       36.56     1.46   -16.59       4.448
   29.27     2.25   -17.99       35.38     2.46   -19.70       6.350
  -17.99     5.96   -44.90      -17.62     4.43   -42.80       2.628
  -21.73     7.74   -41.50      -21.89     6.68   -40.60       1.408
   -9.94     4.37   -18.60       -9.72     8.28   -17.71       4.008
    0.61   -12.84     9.42        0.88   -11.51     9.28       1.369
