400 PA5-J-OurOutput-Iter=9.txt 6
-72.958761   -31.176651   -21.666021   -10.786524   -101.090699   -73.410195
  -16.23   -32.80   -16.07      -16.17   -32.93   -16.00       0.162
   -5.62   -28.77   -15.28       -5.63   -28.74   -15.29       0.035
   -8.31     5.19    53.14       -8.62     5.29    53.12       0.319
   -3.38    10.81    -9.54       -3.34    10.66    -9.52       0.166
   18.08     0.92   -26.20       18.30     0.98   -26.02       0.295
   -3.61    14.86    53.18       -3.70    14.94    53.21       0.124
   -0.13    -1.55   -25.52       -0.16    -1.56   -25.50       0.035
   12.21    -8.10    32.73       12.21    -8.10    32.73       0.001
  -21.72     4.69    -8.59      -21.59     4.55    -8.69       0.219
   13.15   -19.18    -9.40       13.04   -18.52    -9.26       0.683
   34.02     0.46    10.73       34.02     0.46    10.73       0.006
   35.18     4.06   -21.49       35.01     4.16   -21.46       0.195
  -14.79    13.36   -20.22      -14.83    13.45   -20.17       0.112
   38.14     2.82     4.92       38.16     2.82     4.92       0.018
   11.72    18.63    52.96       11.91    18.97    53.10       0.414
   24.58     6.80    40.36       24.26     6.79    40.30       0.334
   -3.20   -15.37     1.11       -3.19   -15.32     1.07       0.063
   -0.02    10.05   -11.44       -0.03    10.03   -11.44       0.019
   29.61   -13.61   -21.31       29.89   -13.78   -21.58       0.430
    4.66    10.90    -9.89        4.63    10.74    -9.80       0.185
   10.49    29.14    13.95       10.56    28.94    13.93       0.210
   34.85    -2.20   -19.72       34.72    -2.17   -19.71       0.132
  -24.91    -0.20    -7.10      -24.88    -0.25    -7.15       0.080
  -22.65    -0.71   -48.58      -22.69    -0.88   -48.23       0.385
   -9.68     9.39    27.11       -9.97     9.25    27.20       0.335
  -19.02   -31.92   -37.15      -19.05   -31.80   -37.08       0.142
  -36.57   -11.96   -44.39      -36.22   -11.97   -44.17       0.423
   33.06    -8.52   -12.80       33.37    -8.54   -12.71       0.327
  -18.54   -30.93   -12.80      -18.54   -30.94   -12.79       0.016
    3.30    21.04    43.72        3.29    20.89    43.68       0.156
   19.15   -11.90     4.20       19.05   -11.68     4.11       0.264
  -25.75   -15.67    -4.28      -25.72   -15.78    -4.00       0.300
   23.27     6.02    49.18       23.02     6.00    49.14       0.245
   -5.81    -6.81    19.59       -5.78    -6.79    19.57       0.041
    1.08   -23.26   -33.58        0.96   -23.17   -33.51       0.162
  -22.58   -11.13    -2.92      -22.70   -11.15    -2.71       0.245
    8.30    -8.35    37.39        8.30    -8.25    37.39       0.095
    5.07    -7.44   -23.53        4.99    -7.45   -23.44       0.119
  -38.55     4.80   -31.95      -38.48     4.75   -31.93       0.089
    6.02    22.83    -2.63        6.25    22.76    -2.57       0.243
   -5.67    14.87    45.75       -5.84    14.93    45.93       0.256
  -42.37   -17.03   -29.64      -42.53   -17.10   -29.67       0.173
  -20.15   -32.48   -36.63      -20.11   -32.20   -36.48       0.321
  -31.02    -8.03    -5.31      -31.08    -7.98    -5.28       0.083
  -30.73   -13.28   -48.52      -30.42   -13.19   -47.91       0.691
  -15.59   -27.43    -9.27      -15.57   -27.49    -9.19       0.099
  -16.80     9.89   -13.40      -16.78     9.80   -13.43       0.095
   -5.73   -29.87   -21.63       -5.77   -29.82   -21.62       0.074
   34.94    -4.00   -11.84       34.93    -4.00   -11.84       0.011
   37.32    -0.97    -1.58       37.06    -0.79    -1.54       0.317
