400 PA5-H-OurOutput-Iter=3.txt 6
-28.005347   70.003251   -41.507507   60.756180   39.984061   -76.547605
   31.32     8.74   -21.70       32.12     8.98   -22.13       0.941
   28.16     0.68    20.74       28.17     0.68    20.74       0.007
  -12.55   -28.02   -37.58      -12.38   -28.35   -37.71       0.387
   -0.96   -23.86   -33.64       -1.83   -22.97   -33.32       1.279
   19.93    -2.30    53.36       19.25    -1.78    53.20       0.874
  -27.14   -28.16   -39.72      -27.11   -28.07   -39.69       0.105
  -33.70     8.23   -40.70      -32.80     6.85   -39.83       1.868
  -22.48   -24.25   -46.56      -22.23   -23.67   -46.01       0.835
   -0.44   -15.42    -5.77       -0.35   -16.10    -5.24       0.866
  -15.83   -12.58   -52.43      -15.66   -12.45   -51.00       1.448
  -11.93   -28.69   -27.34      -11.57   -29.70   -27.18       1.077
    8.38    -4.18    31.58        8.44    -5.67    31.71       1.491
  -37.73    -7.32   -15.60      -38.65    -7.03   -14.81       1.251
    5.06    -1.92    60.40        5.27    -1.71    62.79       2.407
  -13.88    -4.73   -52.61      -13.85    -4.91   -50.62       1.998
    8.63    -8.36   -22.85        8.33    -8.40   -22.49       0.471
  -30.60     0.54   -10.77      -30.65     0.39   -11.16       0.421
  -13.90    11.36    20.38      -14.01    11.42    20.33       0.143
   26.25    -8.78   -22.03       26.23    -8.81   -22.10       0.082
   22.88    -3.61    29.75       22.59    -3.32    29.66       0.412
   22.28     2.29    54.53       21.52     2.54    54.47       0.797
  -17.72    13.92   -35.51      -17.93    12.86   -35.33       1.089
    2.66    19.16    21.67        2.32    20.68    21.70       1.563
   -3.29     0.58    37.40       -4.36     0.26    37.67       1.153
   21.35     0.81    58.61       20.55     1.15    58.51       0.875
   26.34     3.96   -27.85       26.41     3.88   -28.01       0.184
  -40.96    -1.17   -29.40      -41.70    -0.90   -29.40       0.787
  -24.39    12.21   -39.98      -24.30    10.81   -39.00       1.705
    6.43    -2.31    42.25        5.90    -4.69    42.47       2.457
    0.61   -12.46   -36.19       -0.14   -12.50   -35.81       0.838
   18.05    24.81     6.44       18.25    25.51     6.49       0.733
    9.21   -15.43   -22.69        7.97   -14.65   -22.01       1.610
   -4.71    -1.08   -38.56       -4.64    -1.06   -38.58       0.071
   -2.41   -22.47   -38.43       -2.97   -21.39   -37.45       1.562
   -8.20    -4.03   -45.89       -8.33    -4.09   -45.81       0.166
  -29.40   -26.55   -19.37      -29.87   -27.62   -18.61       1.391
  -24.28     7.76   -14.20      -24.23     7.46   -14.69       0.578
   13.94    24.83    31.62       14.05    23.65    31.68       1.183
  -11.62   -24.99   -42.80      -11.71   -24.81   -42.66       0.254
  -20.45   -25.46   -45.59      -20.48   -25.12   -45.28       0.461
  -33.49     6.77   -15.41      -32.81     6.20   -15.80       0.970
   -0.51    -2.53    34.11       -1.79    -3.78    34.72       1.888
   32.27     2.59    12.77       32.90     2.40    13.21       0.789
   16.36    -4.35    38.05       16.44    -4.91    38.14       0.579
  -25.02   -13.76    -8.80      -25.12   -14.10    -7.67       1.184
   -8.46   -24.46   -39.18       -8.35   -24.58   -39.25       0.181
  -13.73   -28.07   -22.48      -13.31   -29.26   -22.13       1.308
    0.87    -1.20    40.29        0.13    -3.41    40.60       2.352
   12.48    24.97     1.41       12.37    25.49     1.34       0.526
  -16.20   -30.50   -28.61      -15.94   -31.41   -28.58       0.941
  -41.05    -2.06   -27.94      -42.00    -1.71   -27.95       1.013
  -36.77     5.07   -20.01      -36.51     4.78   -20.12       0.408
   -2.15    20.64    58.17       -1.23    18.78    58.12       2.085
   20.43    24.02     3.92       20.79    24.80     3.99       0.865
  -15.24     1.01    10.87      -13.71     1.47    10.25       1.711
  -32.35   -26.59   -22.31      -32.87   -27.39   -22.10       0.981
    3.04    -2.71    38.38        2.89    -4.52    38.73       1.846
  -31.50   -16.23   -11.55      -32.03   -16.49   -10.25       1.426
   -2.82   -20.82   -10.71       -2.95   -20.57   -11.02       0.415
  -37.90   -10.54   -45.61      -37.03   -10.67   -45.13       1.000
   11.44   -10.00   -22.52       11.33    -9.78   -22.13       0.464
  -36.91   -11.61   -15.07      -37.87   -11.71   -14.18       1.310
  -26.83   -30.09   -23.69      -26.99   -31.05   -23.35       1.036
  -15.42     8.99    15.75      -13.70     8.07    16.26       2.013
   12.86    23.17   -12.95       12.86    23.17   -12.95       0.003
   10.36    22.85    13.89       10.14    23.64    14.18       0.867
  -31.08     9.17   -16.49      -30.67     8.27   -16.77       1.032
  -39.30    -8.11   -27.14      -40.70    -8.29   -27.78       1.546
    5.08     5.58    60.79        5.38     5.31    62.74       2.001
   -0.53    -5.28    25.05       -1.18    -6.50    25.43       1.435
  -33.38     6.66   -44.08      -32.01     5.53   -42.49       2.382
   21.89    17.21    55.86       20.39    16.26    55.83       1.773
  -16.62     3.15   -50.85      -16.41     1.70   -48.86       2.470
    6.26     1.54    60.88        5.85     2.05    62.83       2.050
  -11.25     9.67   -14.78      -11.41     9.02   -15.14       0.763
   -1.42    19.51    35.45       -1.35    20.26    35.55       0.754
   27.87     9.90    16.97       28.63    10.33    17.35       0.956
    3.79     1.59    61.08        3.89     1.60    62.62       1.538
   -4.79    -3.20    21.08       -5.78    -3.85    21.25       1.192
   -5.59    12.17     9.39       -6.05    12.95     9.06       0.970
    1.85    20.98    40.62        1.94    20.38    40.60       0.602
   20.00    -3.38    42.41       19.57    -2.92    42.23       0.650
   20.15    21.43   -15.95       20.62    23.08   -16.38       1.774
    1.18    -3.20    34.95        0.56    -4.87    35.08       1.789
  -25.14    13.43   -17.03      -24.77    12.17   -18.06       1.666
   18.16    18.93    58.72       18.28    19.02    58.72       0.149
   -7.70    12.72    12.48       -7.89    13.06    12.36       0.408
  -28.84   -20.63   -47.93      -28.58   -20.14   -47.31       0.827
   28.45    -5.38     1.60       28.37    -6.65     2.03       1.339
   18.87   -13.37   -21.34       19.25   -13.24   -20.86       0.631
  -35.17    -5.48   -49.26      -33.87    -5.80   -48.08       1.785
   12.54    16.09   -30.12       12.74    16.25   -29.58       0.592
  -26.47   -19.10   -49.70      -26.27   -18.74   -48.71       1.077
  -27.04    -9.71   -53.25      -26.16    -9.27   -51.79       1.756
    4.62    -6.16    27.78        4.82    -6.92    27.97       0.811
    1.70    16.20    -0.39        2.87    15.59    -0.13       1.343
  -36.12    -9.87   -14.46      -37.29    -9.99   -13.37       1.602
   23.27    22.72     2.13       23.69    23.61     2.24       0.997
   17.19   -18.19   -10.93       17.31   -17.69   -10.82       0.517
   37.28     3.20     2.13       38.03     3.02     2.13       0.770
  -36.27   -24.74   -34.46      -36.20   -24.68   -34.43       0.104
   15.26   -17.44    -7.27       15.15   -17.91    -7.31       0.485
   21.61    18.15    53.94       19.91    17.01    53.95       2.046
    9.85    24.56    47.86       10.81    22.95    48.16       1.900
  -21.91   -13.84   -52.33      -21.72   -13.57   -51.37       1.009
  -28.45   -17.24    -9.53      -28.64   -17.05    -8.69       0.880
   27.57    11.21    15.18       28.57    11.79    15.59       1.234
   23.87     3.86    45.72       23.12     3.96    45.53       0.780
    4.33    16.22    -5.54        5.83    16.38    -4.70       1.726
   -9.02    14.09    47.13       -7.62    13.98    46.40       1.588
  -39.96   -10.62   -17.53      -40.50   -10.57   -17.27       0.602
  -39.94     3.70   -30.70      -39.55     3.49   -30.69       0.448
  -39.21    -6.62   -27.43      -40.75    -7.16   -28.08       1.755
  -26.19   -29.28   -20.27      -26.40   -30.10   -20.15       0.854
   -5.51    16.75    55.69       -4.42    15.96    55.59       1.350
  -15.25    15.41    29.54      -18.27    17.04    28.02       3.754
  -33.60     8.41   -40.19      -32.81     7.10   -39.43       1.714
  -13.80     9.18     9.61      -12.07     8.29     9.76       1.960
  -19.10   -12.89    -6.62      -19.29   -13.15    -5.70       0.976
   -2.00   -22.83   -37.79       -2.67   -21.77   -36.85       1.569
   29.13    -8.20    -5.88       29.89    -9.28    -5.17       1.496
   -8.98   -24.73   -17.24       -8.75   -25.17   -17.10       0.516
   25.09    13.85   -23.97       26.24    14.64   -24.67       1.552
   -7.92     8.43    44.81       -7.40     8.62    44.75       0.549
   12.40     3.54   -18.16       13.13     3.41   -17.65       0.905
   16.29    23.37    31.09       16.13    23.12    31.05       0.297
  -37.48    -2.64   -41.54      -37.58    -2.66   -41.57       0.114
   16.64    -9.05    16.81       16.36    -8.17    16.51       0.963
  -25.45     4.92   -14.04      -25.34     5.03   -13.66       0.408
   13.57    24.03    13.01       13.66    24.89    13.19       0.880
   -7.20   -27.17   -29.81       -7.17   -27.24   -29.82       0.080
   34.27    13.66    -5.59       34.51    13.93    -5.58       0.367
  -24.23     4.46   -13.94      -24.24     4.57   -13.57       0.383
   26.82    14.29   -19.92       28.20    15.24   -20.75       1.867
   24.66    13.23    28.53       24.49    13.12    28.50       0.204
   12.22   -12.84     3.85       12.20   -13.57     4.04       0.760
   27.85     4.66    25.14       27.44     4.66    25.05       0.413
    5.64   -21.73   -19.48        4.61   -20.40   -19.11       1.725
  -11.93   -24.47   -14.99      -11.66   -25.41   -14.58       1.059
   21.46   -14.03   -21.21       21.31   -13.91   -21.07       0.234
   -5.29   -24.77   -35.93       -5.78   -24.26   -35.67       0.748
  -25.36   -28.28   -19.18      -24.89   -29.71   -18.51       1.646
   19.67    21.52    18.83       19.87    22.09    18.96       0.619
   -3.26   -25.34   -21.60       -3.31   -25.26   -21.64       0.096
    0.09    -3.67    30.42       -0.37    -5.44    30.82       1.877
  -19.19    12.56    25.66      -19.63    12.54    25.62       0.436
  -28.48    12.30   -37.36      -28.23    10.94   -36.57       1.586
   10.80     9.04   -26.49       12.55    11.03   -25.43       2.845
  -17.25   -16.11   -52.19      -17.38   -15.63   -50.76       1.515
   13.21    -3.93    56.91       13.35    -5.14    57.02       1.229
  -37.07     8.09   -35.82      -35.82     6.83   -35.24       1.864
   14.55    -3.61    59.09       15.04    -4.42    59.10       0.948
   23.65    13.36    48.68       22.41    12.97    48.55       1.300
   33.21    13.92   -10.11       34.00    14.47   -10.32       0.991
  -38.45     0.57   -42.01      -37.53     0.07   -41.58       1.137
  -20.89   -19.81   -50.69      -20.84   -19.34   -49.61       1.171
  -23.46   -13.73   -51.90      -23.29   -13.51   -51.08       0.866
    5.98    19.93    59.42        5.52    21.33    59.39       1.481
   24.51    -3.38    24.03       24.43    -3.25    24.00       0.154
   23.78    -0.99    36.21       23.33    -0.67    36.07       0.577
  -15.52    10.32    20.00      -14.80     9.97    20.37       0.886
    6.16    21.76     8.82        5.75    22.54     8.89       0.888
  -41.05     1.01   -31.63      -40.76     0.92   -31.54       0.316
   37.57     3.37    -7.09       38.37     1.94    -6.66       1.688
  -16.71     7.57    17.13      -14.16     8.21    17.64       2.675
   25.71    20.25   -10.30       26.43    21.45   -10.37       1.402
   -1.09     2.74   -23.19       -0.95     3.00   -23.34       0.333
