150 PA5-C-OurOutput-Iter=3.txt 6
49.751973   1.852589   -30.072376   -26.098184   -6.423943   -24.246881
   22.47    11.30    29.82       24.12    11.73    30.20       1.749
  -24.73   -24.07    -8.40      -24.73   -24.26    -8.22       0.261
  -38.07     5.41   -27.61      -37.65     4.97   -27.55       0.607
   12.91    21.16    30.71       12.83    22.08    30.76       0.922
  -12.23     4.96    -6.07      -12.39     5.27    -6.02       0.357
    6.72    19.52    43.35        6.60    20.07    43.42       0.576
  -10.25    -5.43     6.77      -10.71    -5.88     7.03       0.693
    2.61   -14.18   -26.67        2.36   -14.16   -26.54       0.282
   -4.41    -0.70   -35.46       -4.40    -0.70   -35.46       0.004
    8.70    23.82    12.54        8.54    24.63    12.67       0.835
   -9.32     9.34    37.11       -8.91     9.53    36.97       0.471
  -15.69   -32.56   -24.13      -15.72   -32.44   -24.14       0.126
   25.81     0.83    16.74       27.62     0.04    17.54       2.130
  -16.41    20.74    25.24      -15.90    20.40    25.37       0.624
   13.92    -2.49    56.93       15.16    -3.64    57.04       1.692
  -36.04   -18.22   -41.85      -35.79   -18.04   -41.61       0.393
   12.74    -9.78   -25.70       13.23    -9.25   -23.22       2.577
  -37.64   -13.53   -10.14      -37.50   -13.52   -10.29       0.204
    9.77     9.39   -16.07        9.78     8.50   -15.27       1.199
   24.30     7.20   -32.79       24.55     7.26   -31.20       1.608
   -6.11    13.18    52.41       -5.50    12.73    52.29       0.762
   -0.16    -6.79    63.02        0.03    -6.38    63.08       0.461
  -41.44     1.48   -29.09      -40.76     1.02   -29.04       0.821
  -33.25   -15.06   -45.82      -33.18   -14.88   -45.48       0.392
    1.35    18.11     4.02        1.57    17.96     4.21       0.325
   18.50     6.69   -28.25       19.37     7.15   -27.44       1.270
  -22.15     7.05   -41.72      -22.20     6.47   -41.08       0.870
   -6.72   -13.89    -2.98       -6.77   -14.46    -2.57       0.704
    1.43    19.49     6.36        1.53    19.39     6.41       0.147
  -28.17   -13.57    -4.98      -28.17   -13.59    -4.92       0.056
  -11.68   -27.45   -39.81      -11.89   -26.99   -39.42       0.638
   32.79    10.24     8.71       34.01    10.41     9.59       1.510
