400 PA5-E-OurOutput-Iter=3.txt 6
-7.210271   12.423697   -70.370348   112.565429   34.247728   -48.719834
    0.24     4.56   -15.36        0.17     6.60   -16.27       2.236
   28.36   -12.98   -23.38       27.38   -12.41   -22.33       1.549
  -17.25   -27.26   -16.08      -17.20   -28.57   -15.39       1.477
   -4.12    -6.21   -37.93       -2.53    -5.47   -38.98       2.050
   -2.56    -4.09    40.76       -2.44    -3.69    40.71       0.419
  -38.74   -21.13   -35.41      -36.91   -20.09   -34.94       2.148
   28.67     0.72    23.81       28.86     0.64    23.86       0.210
  -12.04   -26.96   -37.28      -11.81   -27.34   -37.49       0.488
   32.26    -0.51   -18.40       34.53     0.24   -19.66       2.697
   37.67    10.75    -3.30       38.45    11.54    -3.50       1.132
   20.30    -9.38    17.58       20.06    -7.94    17.18       1.519
   17.89   -17.55   -22.21       19.11   -15.63   -20.88       2.637
   -1.53    -2.36    45.29       -1.75    -3.27    45.47       0.950
    0.23   -22.57   -27.13        0.18   -22.48   -27.11       0.099
  -34.82    -7.18   -47.30      -33.26    -7.56   -45.87       2.157
   11.79   -19.50   -14.44       11.94   -17.33   -14.15       2.199
    6.78    -8.61   -24.76        6.55    -8.70   -24.50       0.358
   41.08     0.65   -10.67       40.60     1.21   -10.60       0.738
   -4.96    13.58    -0.12       -4.26    12.43     0.50       1.478
  -34.79     8.72   -30.76      -34.54     8.48   -30.67       0.354
  -18.07    -3.54   -49.05      -18.10    -3.57   -48.98       0.078
   -3.04    20.84    36.72       -3.03    20.61    36.72       0.235
   -8.15    -6.98    17.18       -6.98    -5.81    16.97       1.670
   -6.54   -19.69   -41.62       -6.26   -19.82   -41.81       0.365
   14.52    26.54    43.75       14.51    24.14    43.67       2.394
   10.84   -16.83   -10.36       10.87   -17.08   -10.32       0.256
  -31.27   -28.09   -23.88      -31.10   -27.76   -23.91       0.363
   39.59     7.43    -4.89       40.51     7.76    -4.84       0.983
   -2.47    -1.49   -26.79       -0.92    -0.83   -27.54       1.849
   38.81    -0.63   -13.18       38.50    -0.28   -13.14       0.470
  -18.87    -0.40   -48.35      -18.84    -0.40   -48.13       0.218
   -8.81   -25.12   -22.44       -8.02   -27.39   -21.79       2.490
    1.14    -5.16    36.94        1.23    -5.55    37.07       0.418
    7.44   -11.00    16.10        7.22   -10.01    15.67       1.096
   27.46   -11.93    -4.65       27.63   -12.16    -4.55       0.298
   36.29     1.70   -17.43       36.17     2.51   -18.05       1.021
  -24.92     9.86   -13.46      -24.77     9.38   -14.52       1.174
   -4.20   -24.78   -31.72       -4.24   -24.72   -31.71       0.074
  -34.17   -26.65   -27.39      -33.69   -26.10   -27.37       0.729
  -12.64    15.87    40.74      -14.02    16.26    42.91       2.604
   28.11     0.44   -29.67       28.09     0.54   -28.86       0.813
  -15.46    13.26    45.64      -14.13    13.77    42.65       3.318
  -12.56   -26.57   -37.42      -12.22   -27.29   -37.89       0.928
  -39.17     4.70   -29.24      -38.23     4.07   -29.18       1.128
  -38.05   -12.05   -15.85      -38.41   -12.10   -15.52       0.493
   -1.37    -4.91   -27.78        0.12    -3.61   -28.45       2.087
   27.21   -14.26   -17.72       27.32   -14.46   -17.70       0.232
  -15.58     9.01   -17.57      -15.49    11.16   -16.03       2.641
   15.63   -21.41   -19.61       17.46   -17.13   -17.71       5.029
   -5.75    -8.33   -43.02       -5.12    -8.19   -43.59       0.864
   35.10    -8.70     0.05       34.33    -7.73     0.21       1.245
   -7.02    -0.28    44.37       -5.21     0.53    44.23       1.988
   27.82    18.37     5.43       29.65    20.10     5.53       2.520
   -4.35    20.83    39.19       -4.33    20.52    39.12       0.325
  -24.94     2.09   -47.51      -24.68     1.80   -46.96       0.680
   28.31     9.05   -25.15       30.06     9.10   -26.18       2.033
  -26.77   -18.23   -46.82      -26.64   -18.03   -46.39       0.489
   -1.25   -23.52   -31.44       -1.60   -22.95   -31.35       0.674
  -14.80     8.55   -37.30      -13.60    11.00   -37.89       2.797
    1.21    11.70    -8.83        1.69    10.58    -8.36       1.303
  -26.83   -19.79   -45.71      -26.77   -19.71   -45.56       0.182
  -22.13   -30.59   -23.72      -22.10   -31.14   -23.55       0.579
   28.71    18.72     4.81       29.93    19.86     4.91       1.670
