150 PA5-G-OurOutput-Iter=3.txt 6
-7.153752   97.356827   19.561130   -98.573155   75.996130   -84.452823
   28.61    19.64     6.31       28.78    19.72     6.34       0.183
  -29.92   -22.69    -9.34      -29.83   -22.30    -9.60       0.481
    2.59    14.03    45.54        1.64    15.96    45.41       2.154
   -2.68     9.64    57.80       -3.94    10.03    57.85       1.315
    9.31     8.89    -4.82        8.30    10.85    -6.11       2.554
   -9.43    13.08    33.48      -11.66    12.67    34.75       2.602
   -6.64    14.70    33.35       -8.94    17.63    34.90       4.034
   -2.45   -10.77   -33.59       -2.53   -10.78   -33.49       0.131
   -0.26    -2.37    36.37       -0.81    -3.04    36.36       0.862
  -29.77    11.09   -25.90      -29.72    11.00   -25.91       0.105
   19.38    -1.27   -18.29       17.46    -0.47   -21.63       3.936
  -15.34   -18.31    -6.94      -15.34   -18.31    -6.93       0.009
  -42.52   -18.13   -17.26      -41.73   -17.87   -17.59       0.898
   29.51    -1.37   -15.45       31.53    -3.09   -14.58       2.783
    8.36    -7.08    32.04        8.01    -5.57    31.77       1.576
    7.32    11.41    65.91        7.25    11.28    65.74       0.222
  -30.69     9.03   -39.16      -30.52     8.53   -38.85       0.611
   13.23    23.98    15.16       13.27    23.82    15.12       0.166
   -3.41   -18.85   -37.92       -3.25   -18.86   -38.09       0.233
  -30.76   -32.58   -24.17      -30.49   -32.04   -24.31       0.624
   13.04    17.17    -0.90        9.85    17.07    -2.48       3.558
   -2.37    12.73    20.12       -4.78    14.90    17.04       4.468
   -4.39    -8.14   -35.90       -3.94    -8.06   -35.84       0.461
    8.46    -4.20    64.79        8.64    -4.41    64.91       0.299
   23.27    -9.41    -3.52       24.18   -10.23    -3.26       1.256
   28.78    19.59     1.40       29.62    19.79     1.46       0.871
   20.83    11.37   -23.42       19.15    11.65   -24.28       1.907
   16.64    22.52    23.98       16.62    22.84    23.96       0.316
  -37.78   -14.25   -51.51      -36.80   -13.72   -49.91       1.954
  -26.12   -27.88   -44.81      -26.12   -27.12   -44.16       0.999
   24.27     9.22   -23.70       21.89     8.20   -25.16       2.972
   14.73     6.75    64.55       14.70     6.73    64.34       0.210
   32.81     2.92   -26.93       32.88     2.93   -27.06       0.141
    7.25     8.20    -8.46        6.97     9.25    -8.73       1.117
   -7.67    14.29    31.36      -10.71    16.84    32.67       4.181
   -2.98    12.53    42.41       -3.60    12.92    42.65       0.773
   12.29    21.10    61.43       12.22    21.02    61.41       0.114
    8.93    19.53    21.82        8.25    21.35    22.01       1.951
  -44.29    -6.75   -19.59      -44.23    -6.74   -19.61       0.063
   17.03     2.68    49.41       18.48     1.96    49.49       1.613
   33.02     5.58     6.56       34.17     5.60     7.13       1.276
   23.07    -5.03     8.54       23.12    -5.16     8.57       0.139
    4.99    -4.81    41.28        4.99    -4.82    41.28       0.008
  -37.35   -20.09   -12.78      -37.12   -19.97   -12.92       0.295
   21.76     7.92   -19.53       20.17     7.14   -22.75       3.673
   20.89    26.81     7.61       20.62    25.98     7.52       0.874
  -15.12    10.05   -38.47      -15.30     9.83   -38.39       0.288
   -8.86     8.47    40.67       -6.31     8.91    39.19       2.980
   12.61    -2.18    49.01       12.97    -3.08    49.02       0.967
   -8.13     2.42     0.26       -9.10     3.95     0.37       1.821
  -13.00   -15.13   -50.87      -13.27   -14.95   -49.84       1.084
   10.52    20.26    25.16       10.10    21.60    25.16       1.401
    6.00   -19.56   -12.56        4.67   -18.38   -12.66       1.774
  -34.91   -28.95   -20.35      -34.61   -28.62   -20.51       0.467
   14.06    23.04    -0.82       13.01    24.10    -0.82       1.492
   19.10    15.08    37.12       20.26    15.29    37.39       1.210
   -2.27    12.91    20.33       -4.79    14.90    17.05       4.592
  -24.69    11.56   -37.41      -24.55    11.06   -37.28       0.536
   -2.37   -19.21    -7.64       -2.43   -18.35    -8.27       1.072
   22.92    12.97    23.02       23.77    13.04    23.32       0.904
  -16.74   -30.95   -38.76      -16.87   -30.39   -38.47       0.645
   -9.47     4.27   -10.25       -9.77     4.90    -9.90       0.782
   -6.08   -24.00    -8.44       -6.31   -22.77   -10.07       2.052
   19.43   -12.24     7.14       18.35   -10.63     6.51       2.050
   28.69     3.61    13.01       28.98     3.60    13.24       0.375
   10.78    21.50    15.16       10.20    22.86    15.25       1.478
  -16.97   -20.12   -50.79      -17.25   -19.72   -49.75       1.148
   11.30   -15.19     3.00       11.22   -14.34     2.68       0.911
  -36.72   -17.23   -50.20      -36.61   -16.26   -48.75       1.749
   11.09    -5.12    33.63       10.90    -4.52    33.57       0.632
   13.52   -16.61    -4.55       13.47   -17.07    -4.39       0.489
   -6.90     9.24    41.39       -5.48     8.99    41.01       1.490
   -2.39    -0.80    25.50       -4.02    -1.27    25.59       1.697
   -5.50     4.97    37.61       -5.04     5.25    37.57       0.539
  -31.99   -28.17   -16.81      -31.81   -28.01   -16.93       0.272
   20.20     2.24    28.81       21.62     1.64    29.03       1.556
   -2.27   -22.95    -9.22       -3.00   -21.86   -10.82       2.069
   15.18    23.38    36.96       15.36    23.09    36.86       0.353
    0.67    -8.48    10.49        0.49    -9.05    10.64       0.621
  -25.35     4.69   -46.99      -25.39     4.20   -46.62       0.619
   25.53     4.14   -22.24       22.40     3.08   -24.50       4.005
  -43.80   -17.84   -30.48      -42.81   -17.76   -30.26       1.022
    8.46     7.17    68.01        7.74     8.27    67.00       1.649
   26.89    12.17   -25.23       27.77    13.28   -26.93       2.218
   27.75    16.38     9.58       28.86    16.50    10.12       1.236
   -4.15     5.30    -7.21       -4.53     6.31    -7.14       1.077
   17.16     9.21    59.62       18.71     9.64    59.72       1.614
    2.27     7.69   -10.53        2.25     8.22   -10.55       0.528
   -5.51     4.58    24.03       -6.29     4.28    24.20       0.844
   18.78    23.95   -12.33       18.51    24.52   -12.45       0.640
   26.15    10.95   -25.52       26.35    12.08   -27.94       2.675
   -1.55    -6.59   -30.09       -1.28    -6.07   -30.42       0.667
    7.02   -11.71     5.51        6.89   -11.90     5.56       0.239
   24.12     2.28    18.00       25.31     1.94    18.51       1.347
  -33.31   -29.36   -19.17      -33.11   -28.92   -19.40       0.533
    9.43    -3.62    47.89        9.55    -4.16    47.89       0.554
   19.22    14.56    36.21       20.57    14.75    36.47       1.389
  -41.98   -21.21   -36.85      -41.19   -20.91   -36.75       0.851
  -19.24   -23.24   -50.31      -19.61   -22.60   -49.21       1.329
   -9.48   -26.82   -15.45       -9.78   -26.24   -15.97       0.828
   18.23     5.86   -18.69       16.75     6.41   -19.10       1.632
    9.20    16.79     4.24        7.37    17.22     2.31       2.701
  -28.68     3.90   -47.53      -28.38     3.17   -46.84       1.052
    6.96    16.04    66.55        7.32    16.25    65.34       1.284
   27.88    -2.07     7.74       28.67    -3.49     8.18       1.683
   21.51    -4.21    12.46       21.58    -4.28    12.50       0.105
   21.46     3.69    25.78       23.13     3.27    26.23       1.778
   35.54    12.45    -7.67       36.02    12.66    -7.70       0.521
   18.31    22.74    38.79       18.28    22.69    38.79       0.067
  -27.68    11.33   -35.34      -27.54    10.91   -35.16       0.480
   19.79     8.10   -20.71       18.16     8.70   -21.16       1.787
  -37.17   -10.50    -8.79      -36.93   -10.42    -9.30       0.566
    8.83   -14.05   -18.13        8.83   -14.05   -18.13       0.006
  -12.50   -28.72   -16.93      -12.63   -28.35   -17.05       0.414
   -7.01    13.91    37.82       -7.19    13.72    38.34       0.578
  -31.85   -15.91   -53.08      -30.92   -15.28   -51.53       1.921
  -38.52     6.32   -25.55      -38.39     6.07   -25.62       0.287
  -28.07   -32.85   -37.99      -27.93   -31.93   -37.51       1.050
   25.86     3.63   -22.00       24.17     1.38   -25.15       4.229
   11.86    21.01    29.26       11.57    21.92    29.35       0.964
